DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT
2022-04-08,3494,5943,9437,1137,4391.0,5527,11964.0,0.46196924105650283
2022-04-09,5372,5762,11134,2867,3738.0,6606,17740.0,0.37237880496054115
2022-03-29,1965,3784,5749,682,2421.0,3103,8852.0,0.35054225033890646
2022-03-30,1945,3780,5725,1261,2354.0,3615,9340.0,0.38704496788008563
2022-03-31,1456,3512,4968,969,2876.0,3826,8794.0,0.43506936547646125
2022-04-01,2995,5654,8649,1267,3796.0,5063,13713.0,0.3692116969299205
2022-04-02,4375,4803,9178,1681,3340.0,5021,14199.0,0.3536164518628072
2022-03-22,2263,4084,6347,1096,1711.0,2807,9155.0,0.30660841070453304
2022-03-23,2202,2664,4866,917,2210.0,3127,7993.0,0.3912173151507569
2022-03-24,2032,3384,5416,1098,2232.0,3331,8746.0,0.3808598216327464
2022-03-25,3737,6220,9957,1386,3656.0,5042,14998.0,0.3361781570876117
2022-03-26,5107,6070,11177,2370,3442.0,5812,16989.0,0.34210371416799107
2022-03-15,2612,4176,6788,1302,2543.0,3844,10632.0,0.3615500376222724
2022-03-16,3354,3580,6934,1571,2046.0,3617,10552.0,0.342778620166793
2022-03-17,2050,4754,6804,838,2834.0,3672,10476.0,0.35051546391752575
2022-03-18,4953,6697,11650,1691,3394.0,5085,16735.0,0.30385419778906486
2022-03-19,4714,5973,10687,2450,3722.0,6172,16859.0,0.36609526069161874
2022-03-08,2104,2770,4874,1403,1327.0,2730,7604.0,0.3590215675960021
2022-03-09,2144,4077,6221,999,2447.0,3445,9666.0,0.356403889923443
2022-03-10,1909,3522,5431,635,2595.0,3230,8661.0,0.3729361505599815
2022-03-11,2892,4664,7556,1725,4875.0,6600,14156.0,0.4662333992653292
2022-03-12,5113,5232,10345,2777,3890.0,6668,17013.0,0.3919355786751308
2022-03-01,1775,3218,4993,701,2337.0,3038,8031.0,0.37828414892292367
2022-03-02,2459,3622,6081,759,1467.0,2196,8278.0,0.26528146895385357
2022-03-03,1909,3884,5793,1225,1473.0,2698,8490.0,0.31778563015312133
2022-03-04,2922,5631,8553,1079,3945.0,5025,13578.0,0.37008395934600086
2022-03-05,5011,5541,10552,2398,2423.0,4821,15373.0,0.31360176933584855
2022-02-22,1810,3264,5074,1349,1314.0,2663,7737.0,0.344190254620654
2022-02-23,2519,3226,4845,527,2654.0,3180,8025.0,0.39626168224299063
2022-02-24,2191,3771,5962,717,2216.0,2932,8894.0,0.3296604452439847
2022-02-25,3503,6554,10057,1453,3438.0,4891,14949.0,0.3271790755234464
2022-02-26,4339,6539,10878,2480,3415.0,5895,16774.0,0.3514367473470848
2022-02-15,1825,3161,4986,824,1846.0,2669,7656.0,0.34861546499477536
2022-02-16,2150,2569,4719,1034,2039.0,3073,7793.0,0.394328243295265
