DATE,DAY,NIGHT,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,,,,,,,,,,,,,,,,
5/27/2022,3159,5880,9049,1465,3234,4699,13748,,,,,,,,,,,,,,,,
5/28/2022,3773,5285,9058,1152,2708,3860,12918,,,,,,,,,,,,,,,,
,,,,,,17015,51599,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5/17/2022,2250,2296,4546,718,1460,2178,6724,,,,,,,,,,,,,,,,
5/18/2022,1961,2368,4329,938,2006,2944,7273,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5/19/2022,1999,4190,6189,796,1943,2740,8928,,,,,,,,,,,,,,,,
5/20/2022,3664,4951,8615,1434,2986,4421,13036,,,,,,,,,,,,,,,,
5/21/2022,3978,5277,9255,1900,2925,4856,14080,,,,,,,,,,,,,,,,
,,,,,,17139,50041,,,,,,,,,,,,,,,,
,,,,,,34%,,,,,,,,,,,,,,,,,
5/10/2022,1864,2279,4143,1020,1492,2512,6656,,,,,,,,,,,,,,,,
5/11/2022,2463,3269,5731,1017,1994,3011,8743,,,,,,,,,,,,,,,,
5/12/2022,2016,3798,5814,832,2074,2907,8721,,,,,,,,,,,,,,,,
5/13/2022,2554,5573,8126,1285,3044,4329,12455,,,,,,,,,,,,,,,,
5/14/2022,3052,4427,7453,1603,2751,4354,11807,,,,,,,,,,,,,,,,
,,,,,,17113,48382,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5/3/2022,3251,3779,7030,1133,1311,2444,9475,,,,,,,,,,,,,,,,
5/4/2022,2033,2701,4734,691,1720,2411,7145,,,,,,,,,,,,,,,,
5/5/2022,1988,2634,4622,785,1949,2733,7355,,,,,,,,,,,,,,,,
5/6/2022,3342,4157,7600,1235,2536,3771,11371,,,,,,,,,,,,,,,,
5/7/2022,3731,4412,8143,1709,2479,4189,12332,,,,,,,,,,,,,,,,
,,,,,,15548,47678,,,,,,,,,,,,,,,,
,,,,,,33%,,,,,,,,,,,,,,,,,
4/26/2022,2745,5836,8582,1181,2297,3478,12059,GRADUATION,,,,,,,,,,,,,,,
4/27/2022,2721,3717,6439,1139,1722,2861,9301,WEEK,,,,,,,,,,,,,,,
4/28/2022,2945,5729,8675,1277,3042,4320,12995,,,,,,,,,,,,,,,,
4/29/2022,4450,7184,11634,1703,3129,4832,16466,,,,,,,,,,,,,,,,
4/30/2022,5862,6873,12735,3361,3766,7127,19862,,,,,,,,,,,,,,,,
,,,,,,22618,70683,RECORD WEEK,,,,,,,,,,,,,,,
,,,,,,32%,,,,,,,,,,,,,,,,,
4/19/2022,2348,4404,6752,1087,1522,2609,9361,,,,,,,,,,,,,,,,
4/20/2022,2484,3676,6160,807,2998,3805,9966,,,,,,,,,,,,,,,,
4/21/2022,2449,4057,6506,1012,2708,3720,10227,,,,,,,,,,,,,,,,
4/22/2022,3152,5713,8864,1148,4008,5157,14021,,,,,,,,,,,,,,,,
4/23/2022,5424,6608,12032,2702,3049,5751,17784,,,,,,,,,,,,,,,,
,,,,,,21042,61359,,,,,,,,,,,,,,,,
,,,,,,34%,,,,,,,,,,,,,,,,,
4/12/2022,2107,3878,5985,826,1950,2776,8761,,,,,,,,,,,,,,,,
4/13/2022,2480,3681,6161,893,2502,3395,9557,$300 cater not on this Z,,Friday day was 3839,,,,,,,,,,,,,
4/14/2022,2660,3673,6333,922,2285,3207,9540,$1770 cater - not on this Z,,,,,,,,,,,,,,,
4/15/2022,5909,5428,11337,1997,3323,5320,16658,,,,,,,,,,,,,,,,
4/16/2022,4659,5746,10405,2096,3872,5968,16373,,,,,,,,,,,,,,,,
,,,,,,20666,60889,,,,,,,,,,,,,,,,
,,,,,,34%,,,,,,,,,,,,,,,,,
4/5/2022,2033,3442,5475,922,2212,3137,8608,,,,,,,,,,,,,,,,
4/6/2022,1581,3576,5157,714,2025,2738,7895,,,,,,,,,,,,,,,,
4/7/2022,1623,3702,5325,1139,2259,3398,8723,,,,,,,,,,,,,,,,
4/8/2022,3494,5943,9437,1137,4391,5527,11964,,,,,,,,,,,,,,,,
4/9/2022,5372,5762,11134,2867,3738,6606,17740,,,,,,,,,,,,,,,,
,,,,,,21406,54930,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3/29/2022,1965,3784,5749,682,2421,3103,8852,,,,,,,,,,,,,,,,
3/30/2022,1945,3780,5725,1261,2354,3615,9340,,,,,,,,,,,,,,,,
3/31/2022,1456,3512,4968,969,2876,3826,8794,,,,,,,,,,,,,,,,
4/1/2022,2995,5654,8649,1267,3796,5063,13713,,,,,,,,,,,,,,,,
4/2/2022,4375,4803,9178,1681,3340,5021,14199,,,,,,,,,,,,,,,,
,,,,,,20628,54898,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3/22/2022,2263,4084,6347,1096,1711,2807,9155,,,,,,,,,,,,,,,,
3/23/2022,2202,2664,4866,917,2210,3127,7993,,,,,,,,,,,,,,,,
3/24/2022,2032,3384,5416,1098,2232,3331,8746,RAIN ALL DAY,,,,,,,,,,,,,,,
3/25/2022,3737,6220,9957,1386,3656,5042,14998,775 cater in the day,,,,,,,,,,,,,,,
