DATE,LUNCH,DINNER,SATCH Z,LSE day,LSE TOTAL,TOTAL,352,352 + TOTAL,BYPPO,LOLO,Paypal-gross
3/6/2020,2518,5627,8145,,,11631,817,,352 $44.94 day253onZ nite 406not on Z,,3486
3/7/2020,3657,6890,10547,,,14770,1280,,352 $182.44,,4222
,,,,,,47748,,,,,13171
,,,,,,,,,,,28%
2/25/2020,1670,1930,3600,,,4491,293,,352 $30.50,,891
2/26/2020,2039,2822,4861,,,6915,453,,352 $18.73,,2054
2/27/2020,2147,3370,5517,,,7763,753,,352 $84,,2246
2/28/2020,3625,5146,8772,,,12201,859,,352 $133.33 cater day 690 niteutp275,,3429
2/29/2020,4783,5614,10397,,,15033,1379,,352 $296.64 cater day 569 UTP,,4636
,,,,,,46403,,,,,13254
,,,,,,,,,,,29%
2/18/2020,1406,2379,3786,,,5154,218,,NO 352,,1368
2/19/2020,2098,2905,5003,,,7355,369,,352 $154.09,,2352
2/20/2020,2382,2883,5265,,,7344,462,,352 $156.76 $330 cater day,,2079
2/21/2020,2934,5139,8073,,,11206,871,,352 @$222.03,,3133
2/22/2020,4322,6735,11058,,,15266,1675,,352 $301.21 $481 cater nite,,4208
,,,,,,46325,,,,,13140
,,,,,,,,,,,28%
2/11/2020,1985,2396,4381,,,5662,494,,352 $22.50,,1281
2/12/2020,1904,3359,5264,,,6495,376,,352 $179.76,,1231
2/13/2020,2434,3420,5854,,,8439,587,,352 $124.12,,2585
2/14/2020,2899,6618,9517,,,14475,707,,352 $324.23/caterday 324.50,,4958
2/15/2020,5495,7366,12862,,,19300,2268,,352 $80.79/557.50 cater day,,6438
,,,,,,54371,,,top week for LSE,,16493
,,,,,,,,,,,30%
2/4/2020,1517,1789,3306,,,4973,444,,352 $51.90,,1667
2/5/2020,1937,2242,4179,,,5242,428,,352 $164.79,,1063
2/6/2020,1882,2799,4681,,,5833,no day Z,,352 $118.24,,1151
2/7/2020,2942,6268,9211,,,12020,808,,352 $178.70,,2809
2/8/2020,4604,6058,10663,,,13587,1237,,352 $134.93,,2924
,,,,,,41655,,,,,9614
,,,,,,,,,,,23%
1/28/2020,1708,2605,4313,,,5243,309,,352 $114.49,,930
1/29/2020,2002,3058,5060,,,6244,496,,352 $39.59,,1184
1/30/2020,2224,2502,4726,,,6148,331,,352 $134.83,,1422
1/31/2020,2569,6086,8655,,,12995,1179,,352 $105.40,,4340
2/1/2020,5826,5871,11697,,,15823,1611,,352 $111.29,,4125
,,,,,,46453,,,,,12001
,,,,,,,,,,,26%
1/21/2020,1412,2192,3605,,,4225,148,,352 $83.46,,620
1/22/2020,2065,2434,4499,,,5605,285,,352 $71.69,,1106
1/23/2020,1817,2664,4481,,,6232,411,,352 $54.58,,1751
1/24/2020,2094,5619,7713,,,11186,578,,352 $80.25,,3472
1/25/2020,5467,6244,11711,,,16217,1454,MED FAIRE,352 $56.18,,4506
,,,,,,43465,,,,,11455
,,,,,,,,,,,26%
1/14/2020,1542,2561,4103,,,5444,370,,352 $31.03,,1341
1/15/2020,1971,2251,4222,,,5653,476,,352 $28.36,,1430
1/16/2020,1444,3159,4603,,,7294,519,,NO 352,,2691
1/17/2020,3208,6320,9258,,,11724,712,,352 $12.31 Cater nite 562.50,,2466
1/18/2020,5909,6820,12729,,,18500,2043,MED FAIRE,352 $53.10,,5771
,,,,,,48615,,,13% up over 2019,,13638
,,,,,,,,,,,28%
1/7/2020,1738,2974,4712,,,5881,270,,352 $95.77,,1168
1/8/2020,1451,2425,4876,,,6381,2959,,352 $65.81,,1504
1/9/2020,1654,3334,4987,,,6400,665,,352 $131.61,,1412
1/10/2020,2744,7995,10739,,,14380,409,,352 $72.70/Cday295/Cnite1799,,3641
1/11/2020,3824,5662,9486,,,12482,1081,,NO 352,,2995
,,,,,,45524,,,,,10720
,,,,,,,,,,,24%
,NY EVE,,,,,,,,,,
,NY DAY,,,,,,,,,,
1/2/2020,3321,4214,7535,,,10068,660,,352$203.84,,2533
1/3/2020,3113,4658,7771,,,11110,719,,352 $102.19,,3339
1/4/2020,4284,5587,9872,,,13181,1332,,352 $37.99,,3308
,,,,,,34358,,,,,9181
,,,,,,,,,,,27%
,458962,726693,1189210,,,,,,,,
